"Time.of.Day","Highway.Classifications","Distracted.Driving.Opinion","Type.of.Roadway.Junction.Feature","Manner.of.Crash","Crash.Severity","At.Intersection","Functional.Class","Lighting.Conditions","Weather","Number.of.Vehicles","Causal.Unit..CU..Type","CU.Vehicle.Maneuvers","CU.Roadway.Condition","CU.Roadway.Curvature.and.Grade","CU.Vision.Obscured.By","CU.Trafficway.Lanes","CU.Turn.Lanes","CU.Workzone.Related","CU.Driver.Age"
"Midday","Local_Road","Not_Distracted","No_Junction","Head-On","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Multi_Vehicle","Passenger_Vehicle","Straight","Dry","Straight_Level","Environmental_Obstruction","Lanes_1_2","No_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Local","Daylight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","Older_than_75"
"Evening_Peak","Local_Road","Not_Distracted","Segment_Related","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Local","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Other","Not_Workzone_Related","55-64"
"Evening_Peak","Major_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","Less_than_25"
"Evening_Peak","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Grade","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Midday","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Left_Only","Not_Workzone_Related","Less_than_25"
"Night","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Severe_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Left_Only","Not_Workzone_Related","Less_than_25"
"Morning_Peak","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","65-74"
"Midday","Local_Road","Not_Distracted","No_Junction","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Both_Turn_Lanes","Not_Workzone_Related","55-64"
"Midday","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Early_Morning","Major_Road","External_Distraction","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Grade","Not_Obscured","Lanes_1_2","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Evening_Peak","Major_Road","External_Distraction","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Multi_Vehicle","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","Both_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Midday","Major_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Midday","Major_Road","Not_Distracted","No_Junction","Side-Impact","Severe_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Multi_Vehicle","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","Right_Only","Not_Workzone_Related","25-54"
"Midday","Major_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","Older_than_75"
"Night","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Evening_Peak","Local_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Evening_Peak","Local_Road","Not_Distracted","No_Junction","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","55-64"
"Morning_Peak","Local_Road","Not_Distracted","No_Junction","Head-On","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Left_Turn","Dry","Straight_Level","Not_Obscured","Lanes_1_2","Left_Only","Not_Workzone_Related","25-54"
"Night","Major_Road","Not_Distracted","Segment_Related","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Dark_Lighted","Cloudy_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Morning_Peak","Local_Road","Not_Distracted","Standard_Intersection","Head-On","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","No_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Daylight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","Left_Only","Not_Workzone_Related","Older_than_75"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Right_Only","Not_Workzone_Related","Less_than_25"
"Midday","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","No - Crash Did Not Occur at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Evening_Peak","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Multi_Vehicle","Light_Truck/SUV","Straight","Dry","Curve_Grade","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Morning_Peak","Minor_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","No - Crash Did Not Occur at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","25-54"
"Morning_Peak","Major_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","No_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Evening_Peak","Local_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","25-54"
"Evening_Peak","Local_Road","Not_Distracted","No_Junction","Head-On","Property_Damage_Only","No - Crash Did Not Occur at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Early_Morning","Major_Road","Not_Distracted","No_Junction","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Heavy_Truck","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Right_Only","Not_Workzone_Related","25-54"
"Evening_Peak","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","Left_Only","Not_Workzone_Related","Less_than_25"
"Midday","Major_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","25-54"
"Night","Local_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Precipitation/Adverse","Two_Vehicles","Passenger_Vehicle","Straight","Wet","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Major_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Midday","Local_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Local_Road","Not_Distracted","No_Junction","Head-On","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","Less_than_25"
"Evening_Peak","Major_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","Less_than_25"
"Morning_Peak","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Severe_Injury","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","No_Turn_Lanes","Not_Workzone_Related","Older_than_75"
"Midday","Local_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Right_Turn","Dry","Straight_Level","Not_Obscured","Lanes_1_2","No_Turn_Lanes","Not_Workzone_Related","25-54"
"Night","Local_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","25-54"
"Night","Local_Road","Internal_Distraction","Segment_Related","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Dark_Lighted","Cloudy_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Both_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Midday","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Vehicle_Obstruction","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","55-64"
"Midday","Major_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","55-64"
"Evening_Peak","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Multi_Vehicle","Passenger_Vehicle","Stopping","Dry","Straight_Level","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","25-54"
"Early_Morning","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Twilight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Left_Only","Not_Workzone_Related","Less_than_25"
"Night","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Precipitation/Adverse","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Right_Only","Not_Workzone_Related","Less_than_25"
"Evening_Peak","Major_Road","Not_Distracted","Segment_Related","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Local","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Left_Only","Not_Workzone_Related","25-54"
"Morning_Peak","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","No_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Local_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Morning_Peak","Local_Road","Not_Distracted","Standard_Intersection","Head-On","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Grade","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Night","Major_Road","Not_Distracted","No_Junction","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Precipitation/Adverse","Two_Vehicles","Passenger_Vehicle","Left_Turn","Wet","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","No_Turn_Lanes","Workzone_Related","25-54"
"Morning_Peak","Major_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","25-54"
"Night","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Night","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","25-54"
"Morning_Peak","Local_Road","External_Distraction","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Left_Only","Not_Workzone_Related","55-64"
"Evening_Peak","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Precipitation/Adverse","Two_Vehicles","Passenger_Vehicle","Straight","Wet","Straight_Level","Not_Obscured","Lanes_5_or_More","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Night","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","No_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Early_Morning","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","Less_than_25"
"Evening_Peak","Major_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","Older_than_75"
"Early_Morning","Major_Road","Not_Distracted","Segment_Related","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Precipitation/Adverse","Two_Vehicles","Light_Truck/SUV","Left_Turn","Wet","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Night","Major_Road","Not_Distracted","Segment_Related","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Cloudy_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Wet","Straight_Grade","Not_Obscured","Lanes_3_4","Right_Only","Not_Workzone_Related","65-74"
"Midday","Local_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Wet","Straight_Level","Not_Obscured","Lanes_1_2","No_Turn_Lanes","Not_Workzone_Related","65-74"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Stopping","Dry","Straight_Level","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","25-54"
"Evening_Peak","Major_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Multi_Vehicle","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","Less_than_25"
"Night","Major_Road","Not_Distracted","Standard_Intersection","Head-On","Severe_Injury","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Left_Turn","Dry","Straight_Grade","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Major_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Grade","Not_Obscured","Lanes_1_2","Right_Only","Not_Workzone_Related","65-74"
"Evening_Peak","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Heavy_Truck","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Local","Daylight","Cloudy_Weather","Multi_Vehicle","Light_Truck/SUV","Straight","Dry","Straight_Grade","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Local_Road","Not_Distracted","No_Junction","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","25-54"
"Night","Major_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Wet","Straight_Level","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Evening_Peak","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Local","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","Less_than_25"
"Morning_Peak","Major_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Twilight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Midday","Local_Road","Internal_Distraction","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Left_Only","Not_Workzone_Related","25-54"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Clear_Weather","Two_Vehicles","Light_Truck/SUV","Right_Turn","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","25-54"
"Morning_Peak","Major_Road","Not_Distracted","Standard_Intersection","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Arterial","Daylight","Cloudy_Weather","Multi_Vehicle","Light_Truck/SUV","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Both_Turn_Lanes","Not_Workzone_Related","55-64"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_3_4","Left_Only","Not_Workzone_Related","55-64"
"Midday","Local_Road","Not_Distracted","Standard_Intersection","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Grade","Not_Obscured","Lanes_3_4","No_Turn_Lanes","Not_Workzone_Related","25-54"
"Evening_Peak","Local_Road","Not_Distracted","No_Junction","Side-Impact","Minor_Injury","Yes - Crash Occurred at an Intersection","Collector","Daylight","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_1_2","Left_Only","Not_Workzone_Related","25-54"
"Night","Local_Road","Not_Distracted","No_Junction","Side-Impact","Property_Damage_Only","Yes - Crash Occurred at an Intersection","Arterial","Dark_Lighted","Clear_Weather","Two_Vehicles","Passenger_Vehicle","Straight","Dry","Straight_Level","Not_Obscured","Lanes_5_or_More","Left_Only","Not_Workzone_Related","Less_than_25"
